title,genre,country,year,company,director,actor,date,running_time,keyword,plot
여로,"멜로드라마,가족",대한민국,1986,㈜현진,김주희,"김경란,유명순,권일정,김용학,길달호,최재호,손전,박윤배,김민순,배광현(아역),이성웅,한인수,최길호,여운계,김문희,심형래",19861127,110,"궁핍,리메이크,빈곤,소박,시집살이,장애인,정신지체장애,지체부자유자,가난한여자,여자가장,중매,상속다툼,시누이,부산,고향","홀어머니와 어린 동생들을 데리고 끼니조차 걱정해야 하는 분이가 가세를 도우려고 술집으로 팔려가 첫날 달중을 만나 달중의 중매로 시골 부자인 최 주사댁 며느리로 들어간다. 정신미약자인 남편 영구를 눈물로 감싸고 시부모, 시누이를 지성껏 모시고 하녀 같은 생활을 하며 귀한 집안에 아들을 낳는다. 계모인 시모와 시누이는 가계 상속관계로 달중을 끌어들여 중상모략 하여 분이는 소박맞고 쫓겨난다. 시누이 남편이 집문서를 갖고 도망가 가세가 기운 최 주사는 부산에서 고생하고 분이는 식당을 전전하다 식당주가 되어 불우한 애들을 도우며 살아간다. 그 후 구두닦이를 하던 영구를 부산에서 만나게 되고 계모와 시누이의 뉘우침과 아울러 분이의 재산으로 옛집도 찾고 함께 고향으로 돌아가 행복하게 산다."
구미호,"공포(호러),SF,판타지",대한민국,1994,신씨네,박헌수,"고소영(하라),정우성(혁),독고영재(저승사자),방은희(민이),이기영,이근희,서기웅,권해효,안석환,소일섭,권호웅,민경진,원근희,권태원,엄춘배,이봉규,지춘성,정인기,김필국,박길수,강남기,홍석연,이재록,이석연,최영래,김민수,신재명,양정웅,이운석",19940723,115,"저승사자,여우,무당,전설,데뷰작",반인간 반여우인 구미호가 완전한 인간이 되기 위한 도구로 선택했던 남자를 진정으로 사랑하게 되나 애석하게도 인간이 되지 못한다는 슬픈 사랑이야기다.
언픽스,"액션,드라마,합작(번안물)",대한민국,1996,정명영화㈜,"두기봉,최정일,양백견","한재석(보디가드 최),오천련(킬러 형),유청운(킬러 랑),김연주(최의 약혼녀),김기주(약혼녀의 아버지),송금식(보스1),서억석(보스2),박세범(보스3),전헌태(보스4),황사리(매)",19960921,86,"살인청부업자,국수가게",아설은 완벽한 솜씨를 자랑하는 홍콩의 전문 살인청부업자다. 자신의 과거와 자라난 환경에 대해서 잘 알지 못하며 언니 매의 주선으로 청부일을 하고 있는 그녀는 항상 일을 마친 후엔 덕랑의 국수 가게에 들러 국수 한 그릇을 먹고 간다. 설은 점점 자신의 일에 회의를 느끼고 그럴 때마다 자신도 모르게 랑의 식당을 찾고 조준경을 통해 랑을 관찰하곤 하다. 랑은 자신의 가게에서 늘 말없이 국수를 먹고 가는 설에게 연정을 느끼나 쉽게 말을 붙이지 못한다. 한국 암흑가의 보스 박대현을 암살하는 임무를 맡은 설은 완벽하게 임무를 마치고 돌아온다. 항상 자신이 최고임을 자부하던 박의 보디가드 최일정은 복수심에 불타 있던중 약혼녀인 옥소의 아버지 김광주와 다른 조직의 보스들이 이사건에 연루된 것을 알게 된다. 옥소의 만류에도 불구하고 김광주를 죽이고 다른 보스들을 처치한 후 단신으로 홍콩에 잠입한 최는 설의 정체를 파악하고 반드시 그녀를 처단하리라 다짐한다.
럭키 브레이크,코메디,오스트레일리아,1995,"Australian Film Finance Corporation,Generation Films,Lewin Films,Pandora Cinema",벤 루윈,"지아 카리데스,안소니 라파글리아,레베카 기브니,마샬 나피어,로빈 네빈,자섹 코먼,시오반 터크,루이스 피안더,메리 안느 파헤이,마이클 에드워드-스티븐스,스테디 에디,마이컬 바이치",19971206,90,"로맨스, 장애, 섬, 호텔, 형사, 다이아몬드","에로틱한 로맨스 소설을 주로 쓰는 소피는 어느 날 도서관에서 에디라는 남자의 데이트 신청을 받게 된다. 보석상 딜러인 에디는 이미 약혼녀가 있지만 에로틱한 구절들을 거침없이 읊조리는 소피에 반한 것. 어릴 적 소아마비를 앓아 목발에 의지해 걷는 소피는 에디의 청을 거절한다. 하지만 소피 역시 에디에게 끌리는 마음 때문에 그가 일하는 쇼핑센터에 들렸다가, 에디와 약혼녀 일행을 피하려다 다리가 부러지는 사고를 당해 기브스를 하게 된다. 소피는 원래 불구가 아니라 스키 사고로 다쳤다고 속이고 에디와 밀월여행을 떠나지만 결국 소피가 불구라는 사실이 드러나면서 세 사람은 묘한 애정의 기류에 휘말린다."
블랙 워터 트레일,"액션,스릴러",오스트레일리아,1996,"Portman Productions, Rutherford Films Holdings",이안 배리,"주드 넬슨,디 스마트,마크 리,피터 펠프스,로웨나 월래스,가브리엘 핏츠패트릭,브랫 클리모,다니엘 로버츠,장-마크 러스,일레인 마스키엘,워윅 영,피터 켄트",19970322,98,"장례식, 실종, 강간, 추적",매트 캐런은 어린시절 친구 앤디 그린이 자살했다는 소식을 듣고 10년 만에 고향 미첼톤 마을을 찾아온다. 10년 전 뉴욕으로 건너가 책을 출판해 유명한 작가가 된 매트는 친구 앤디의 장례식에 모습을 나타내고 거기서 옛 애인 캐시와 낯선 고향사람들을 만난다. 그러나 고향사람들은 그를 냉랭하게 대하는데 앤디의 동생이며 그의 애인이었던 캐시는 오빠의 죽음에 의문을 품는다.
어거스트 킹,드라마,미국,1996,"Addis Wechsler Pictures, Miramax Films",존 두이간,"제이슨 패트릭,탠디 뉴튼,래리 드레이크,샘 워터스론,세러-제인 와일드,에릭 마비우스,뮤즈 왓슨,존 도먼,앤디 스탈,대니 넬슨,딘 라더-듀발,빌리 래이 레이놀즈,말러스 할딩",19970712,92,"소설원작, 역사, 노예","1800년대 초 노스캐롤라이나 지방, 한 마을에서 두 명의 노예가 도망을 친다. 그 마을에서 제일 부자인 올래프의 남자노예인 심스와 여자노예 아날리스가 그들이다. 올래프는 엄청난 현상금을 걸고 두 노예를 찾아나선다. 한편, 그림을 잘 그리던 아내가 죽어 방황하고 있던 어거스트 킹은 어느 날 장터에 가서 소와 오리와 돼지를 사가지고 오던 길에 도주중인 아날리스를 만난다. 필사적으로 도망을 치던 아날리스는 그에게 도움을 요청한다. 그녀에게 인간적인 면을 느낀 어거스트는 그녀를 현상금 사냥꾼들로부터 보호해주기로 한다."
컨스피러시,"드라마,미스터리,스릴러",미국,1997,"Donner/Schuler-Donner Productions, Silver Pictures, Warner Bros.",리차드 도너,"멜 깁슨,줄리아 로버츠,패트릭 스튜어트,실크 코자트,스티브 카핸,테리 알렉산더,알렉스 맥아더,로드 맥라클란,마이컬 파츠,짐 스털링,리치 헤버트,브라이언 J. 윌리암스,조지 아길라,시스 니버 라바오,색슨 트레이너",19970906,135,"음모, 로맨스, FBI, CIA, 정치, 추적, 뉴욕, 음모이론",제리 플레처는 기억할 수 없는 과거의 공포에 휩싸여 살고 있다. 그는 뉴욕시의 영업용 택시운전사로 근무시간의 대부분을 승객들에게 자신의 생각을 들려주는 재미로 소일한다. 문제는 그가 들려주는 얘기들은 여러 가지 엄청난 음모에 관한 것들인데 이들 음모는 단지 그의 가설에 입각한 스토리일 뿐이다. 식수에 섞여 있다고 믿는 비금속원소 플루오르나 현행 국제금융정책등의 비밀에 관해 플레처는 남다른 견해를 갖고 있다. 그는 이들 정보와 비밀이 누군가에 의해 통제받고 있고 그 누군가의 거대하고 위협적인 음모의 희생양이 바로 우리들 자신이란 주장을 갖고 있다.
닉 앤 제인,코메디,미국,1997,"Cobalt Films, Esmeraldo, Mauro Entertainment, Miravista",리차드 모로,"다나 윌러 니콜슨,제임스 맥카프리,존 도셋,리사 게이 해밀턴,데이빗 요한슨,게드 와타나베,클린턴 리웁,다이앤 브릴,산드라 산티아고,조지 코,시오브핸 폴론",19971015,92,"로맨스, 택시기사, 뉴욕","오랫동안 가난한 예술가의 삶을 살아온 닉은 생활고에 지쳐 동기도 창의성도 잃어버리고 택시운전으로 연명한다. 반면 제인은 완벽한 애인에, 좋은 집, 유망한 직장의 능력 있는 전문직 여성이다. 어느 날 제인은 애인 존과 자신의 직장 동료인 스테파니와의 정사장면을 목격하고 충격을 받는다. 친구 비키와 기분 전환 겸 친구의 클럽에 갔던 제인은 그곳에서 또 존과 스테파니를 마주치자 비키의 즉흥적인 계획에 따라 존의 질투를 유발하기 위해 닉과 자신을 오랜 애인 사이라고 속인다."
목숨을 걸고,"액션,활극",대한민국,1962,연아영화공사,권영순,"최무룡(김윤호),도금봉(주은미),허장강(허기사),서애자(박명희),김동원(박소장),주선태(주사장),장동휘(장철이),손춘성(왕용팔),윤왕국(홍노인),독고성(작업원),남방운(작업원),이해룡(작업원),백송(작업원),지용남(작업원),하룡(작업원),박남규(박동수)",19620825,100,"통속,탄광촌,광산촌,형의복수,흑백스탠다드",광산지대에서 의문의 죽음을 당한 형의 사인을 규명하기 위하여 김윤호는 홀홀단신 집을 나선다. 그리하여 그는 많은 위기를 극복하면서 끝내는 형의 죽음의 원인이 광권 쟁탈에 있었음을 규명하고 형을 죽인 악당들에게 복수함으로써 그들의 행패로부터 수많은 광부들을 해방시킨다.
검은 머리,"액션,갱스터,느와르",대한민국,1964,한국영화주식회사,이만희,"문정숙(연실),장동휘(동일),이대엽(대일(택시 운전수)),김운하(운일),채랑(채일),정애란(유모),강문(강문),최성호(최승일),장혁(장일),독고성(독일),추석양(추일),유춘수(유일),이해룡(해일),조석근(조일),김웅(웅일),김월성(취객),최성(최일),김기범(청년),김세라(아편주인),이예민(예일),임선자(포주),한유정(한유정),김경란(공주),조정자(공주),양일민(양일),최삼,지용남,박일,박병기(청년),이길수,박민호,조혜경,신소영,김미애",19640731,105,"조직폭력,뒷골목,폭력/깡패,보스의여자,암흑가의보스,흉터,밀수조직,밀수단,밤거리,삼각관계,흑백시네마스코프","‘검은 머리’라 불리는 회장(장동휘)의 갱단이 돈을 받아내기 위해 밀수업자 일당과 접촉한다. 한편 부인 연실(문정숙)이 아편쟁이(채랑)에게 겁탈당하는 사진이 회장에게 보내진다. 조직원들은 간통했다며 조직의 계율대로 그녀의 얼굴에 상처를 입히고, 아편쟁이와 같이 살게 된 연실은 몸을 팔아 생활한다. 거리에서 손님을 찾던 연실은 택시 운전수(이대엽)을 만나 그의 집에 머물게 된다. 얼굴의 흉터를 알게 된 그는 차주가 되면 성형시켜주겠다고 말한다. 연실은 회장을 만나려고 갱단이 운영하는 바를 찾아가지만, 조직원들은 회장 몰래 그녀를 죽이기 위해 철길로 데려간다. 그러나 뒤쫓아 온 운전수가 그녀를 구해 자신의 집으로 데려간다. 한편 아편쟁이는 연실을 찾기 위해 운전수의 여동생과 친한 패거리를 풀어 정형외과마다 지키게 한다. 얼굴을 고친 연실은 운전수의 집으로 돌아온다. 그녀가 저녁식사를 준비하는 동안 뒤를 밟은 아편쟁이가 들어와 운전수의 돈을 빼앗아간다. 회장은 연실을 다시 만나 산장으로 가는 길에 아편쟁이를 불에 태워 죽인다. 둘은 산장에서 하룻밤을 보내고, 회장은 계율을 어겼다며 자신을 처형하라고 조직원들에게 말한다. 공사장의 처형식에서 회장은 살아 돌아온 아편쟁이의 칼에 맞아 죽는다. 연실이 찾아와 회장의 마지막을 지켜준다."
목숨보다 더한 것,멜로/로맨스,대한민국,1964,대한연합영화주식회사,강대진,"태현실(전경희),신영균(한상국),김승호(한사장),도금봉(현경),황해(이성철),황정순(침모),황해남(영식),서영춘(구과장),김웅(의사),임해림(이형사),이영,최창호(감독),박민호(청년),황도석(적공),김옥경,박미영(혜숙),김수연(마담),정현미(소녀),김봉경,김만옥(청년),지성훈,오태근(직원)",19641121,null,"독살,재벌아들,부잣집아들,여비서,계모,살인범,살인죄,법정,흑백시네마스코프","갑부의 아들인 상국은 그는 계모 현경의 독살을 모면하고 휴양차 별장에 머물고 있는데, 그 동안에 계모는 살인미수죄로 복역을 마치고 출감한다. 한편 여비서 경희와 사랑에 빠진 그는 많은 것을 깨닫고, 자립을 위해 공사장에 나가서 막노동을 하는데, 계모가 아버지를 독살하자 이에 분개한 그는 계모를 살해하고 법정에 선다."
원죄,멜로/로맨스,대한민국,1967,주식회사 극동필림,김기덕,"오영일(노영일),문희(윤나미),김진규(윤목사(나미 부)),이낙훈(한동석),주연(김용란),김신재(허여사),전양자(노혜숙),최장호(걸인)",19670324,110,"일본소설원작,청춘영화,남편의외도,순정,기독교,여성편력,사랑의상처,통속물,흑백시네마스코프",나미는 독실한 기독교 신자였지만 그녀의 남편 영일은 호색한이어서 그녀의 친구와도 불륜의 관계를 맺는다. 그녀는 남편이 잘못을 뉘우치고 돌아오기를 매일 매일 기도한다. 드디어 영일이 자신의 잘못을 깨닫고 집으로 돌아오지만 그는 곧 비명에 죽고 만다.
장렬 509 대전차대,"액션,전쟁","대한민국,홍콩",1967,"제일영화주식회사,홍콩자유영업공사(香港自由影業公司)",김동학,"신영균,양훈,트위스트 김,조항,최성,정형,신성호,장영재,문주란",19670507,100,"합작영화,한홍합작영화,한국홍콩합작영화,6.25,625,한국전쟁,컬러시네마스코프,감독데뷔작,간호장교",6.25 전란중 신중위가 이끄는 509 전차부대의 활약상을 그린 것으로 그들 전차부대는 비오듯 쏟아지는 적의 폭탄을 무릅쓰고 난공불락을 자랑하던 적의 도치카를 완전 파괴하여 불리했던 아군의 전세를 유리하게 역전시킴으로써 마침내는 아군의 승리를 가져오게 한다.
가슴 아프게,멜로/로맨스,대한민국,1967,제일영화주식회사,박상호,"남진(남성진(인기가수)),남정임(서경아(재일교포)),이빈화(홍수미),주증녀(성진 모),전양자(혜란),어윤길(박도만),정민(성진 부),최병철(세웅),장은경(미경),차미영(승혜),한유정(매리),김만식(기석),권오상(기자)",19671020,null,"통속,대중가요,재일교포,음악가,가수,흑백시네마스코프","하몬드 오르간 연주자인 재일교포 경아는 고국 방문 공연차 내한한다. 경아는 이번 방문에서 한국전쟁 이후 소식이 없는 아버지를 찾고 싶어 한다. 그녀는 자신이 묵고 있는 타워호텔에서 우연히 남성진이란 스물두 살의 대학생을 만난다. 호텔 오락실과 지하의 바 칸파타, 워커힐 수영장, 남산 등을 오가며 이들은 사랑을 나누게 된다. 그러면서도 경아는 자신의 이름조차 알리지 않는다. 경아의 매니저이자 이모인 홍수미는 그녀가 성진과 만나는 것을 달갑지 않게 여기고, 전화도 바꿔주지 않는다. 경아를 몹시 사랑하게 된 성진은 그녀에 대해 궁금해 하던 중, 길에서 우연히 경아의 포스터를 보게 되고 그녀가 오르간 연주자임을 알게 된다. 성진은 사업을 물려받기를 원하는 아버지의 뜻과는 달리 가수가 꿈이다. 성진의 노래 실력을 알게 된 경아는 자신의 한국 내 후견인 박도만에게 레코드 회사를 주선해달라고 부탁한다. 경아의 도움으로 성진은 '가슴 아프게' 를 취입하고 인기가수가 된다. 경아는 자신의 아버지가 3년 전에 이미 세상을 떠났음을 알게 되고 슬퍼하지만, 그녀의 공연은 대성공을 거둔다. 그러나 이제는 경아가 한국을 떠나야 할 시점. 경아는 성진과 뜨거운 하룻밤을 보낸 뒤 정말 사랑했노라는 편지를 남기고 한국을 떠난다. 성진은 급히 기차를 타고 부산을 향하지만 연락선은 이미 부두를 벗어나고 있다. 성진은 애타게 경아의 이름을 외치고, 경아는 부두를 바라보며 성진의 '가슴 아프게'를 들으며 눈물짓는다. (시나리오)"
낮과 밤,"멜로/로맨스,활극,액션","대한민국,홍콩",1968,"합동영화주식회사,쇼브라더스(Shaw Brothers)",전우열,"신영균(박영걸),남정임(난옥),허장강(최사장),권오상,윤일주,유하나,휴안 인,방영(미령),적낙,왕협(주민),장혁,이철,최성호,최무웅",19680706,95,"통속,합작영화,한홍합작영화,한국홍콩합작영화,컬러시네마스코프,보석강도",홍콩에서 도난당한 다이아몬드를 추적하여 서울에 잠입한 홍콩 악당과 과거에는 그 악당의 일원이었지만 지금은 관계를 끊고 서울에 와서 캬바레를 경영하는 한국청년 영걸(신영균)과 그가 홍콩에서 데려와 키우다시피한 누이동생 미령(방영)을 둘러싸고 일어나는 물욕과 애정의 갈등을 그린 활극통속물.
사모아의 연풍,멜로드라마,대한민국,1968,삼화영화사,배석인,"이대엽,최인숙,리리 김",19680725,null,null,"사모아에 출어중인 영호는 펜팔을 통해 고국의 아가씨를 사귄다. 그녀의 아버지도 원양어선의 선원이었기 때문에 그 무덤이 사모아에 있었다. 그녀는 아버지 무덤이 있는 사모아에 한번 가보는 것이 일생의 소원이었고,그 사실을 안 사모아의 영호 친구들은 서로 가난한 주머니를 털어 그녀를 초청한다. 사모아에 간 그녀는 현지에서 선원들의 뒷바라지를 하는 동안 영호와 사랑을 맺고 귀국선에 오른다."
부각하(젊은이의 태양),"코메디,멜로드라마",대한민국,1969,대양영화주식회사,최인현,"신성일,남정임,최남현,한은진,허장강,도금봉,이대엽,김희준,장훈,최삼,김움,조덕성,지방열,임해림,윤일주,박광진,나일,임성포,황인철,주일몽,이예성,박병기,임동훈,권오상",19690530,89,"재벌2세,재벌,신분위장","관동재벌의 후계자인 윤인수(신성일)가 20여 년만에 미국에서 귀국한다. 관동재벌 계열사 사장들은 윤한민 회장(최남현)에게 잘 보이기 위해 인수를 ""부각하""라 부르며 공항으로 마중 나가서는 엉뚱한 사람을 모셔오는 소동을 벌인다. 한편 인수는 공항에서 빠져나와 아버지인 윤회장을 만나고, 사업을 물려받기 전에 1년 동안만 신분을 감추고 노동을 하면서 고국의 실정을 익히겠다고 한다. 거리로 나와 일자리를 찾던 인수는 우연히 오영아(남정임)란 아가씨를 알게 되고 호감을 갖는다. 하지만 영아는 속마음을 드러내지 않은 채 번번이 인수를 골탕먹일 뿐이다. 인수는 마침내 관동건설의 일용노동자로 일하게 되는데, 서툰 노동이지만 곁에서 늘 도와주는 서노인의 배려 덕에 그런대로 즐겁게 지낸다. 인수가 단골로 다니는 식당의 여주인 순천댁(도금봉)은 귀티가 나고 뭔가 달라 보이는 인수에게 다른 맘을 먹고 애를 태운다. 한편 관동재벌의 계열사인 관동제약 사장 허동근(허장강)에게 사기꾼(이대엽)이 접근하여 자신이 윤인수라고 속이고 극진한 대접을 받는다. 허사장은 가짜 인수와 자신의 딸 미숙(김희준)을 결혼시키려는 작전을 세우고 실행에 들어간다. 한편 관동건설 공사장에서는 서노인이 낙상하여 죽는 사고가 일어나고, 회사 측의 무성의한 대응에 분노한 인수는 사장단 회의를 하고 있는 회장실로 쳐들어간다. 회장 앞에서 당당히 서노인에 대한 보상금을 요구하는 인수에 대해 사장들은 모두 버릇이 없다고 하지만 회장은 ""썩 마음에 드는 놈""이라며 ""잡아두고 싶다""고 말한다. 약삭빠른 허사장은 이런 회장의 말을 듣고 미숙의 친구 영아를 시켜 인수를 데려오게 하여 운전기사로 채용하는 한편, 가짜 인수와 딸 미숙의 혼인을 성사시키려 한다. 한편 번번이 인수를 골탕먹이던 영아는 허사장에게 인수를 취직시키고는 일년치 월급을 선불 받아 사라진다. 인수는 관동제약 앞에서 우연히 영아를 발견하고 그녀를 쫓기 시작하는데, 그녀가 가짜 인수와 한패임이 드러난다. 본명이 윤대열인 가짜 인수와 한바탕 싸움을 벌이는 와중에 영아는 달아나고, 결국 인수는 허탈한 채 돌아오는데, 어머니(한은진)가 찾아와 모든 문제가 해결되었다며 이제 집으로 가자고 한다. 회장실의 아버지에게로 돌아온 인수는 뜻밖에도 그곳에서 영아를 만난다. 그녀는 사실 윤회장이 고용했던 것. 인수와 영아는 우여곡절 끝에 서로의 사랑을 확인한다. (영화)"
도깨비 감투,"가족,판타지",대한민국,1979,한진흥업㈜,박승철,최수민,19790728,75,"감투,권선징악,도깨비,도둑,전래동화,제사,요괴,투명인간,도둑질,욕심","돌이는 박신영감의 외동아들로 착하고, 용감하고, 모험심이 강한 아이다. 달안섬마을에는 마음씨 나쁜 사또가 있어서 무고한 양민들의 재산을 마구 빼앗고 있었는데, 박선영감집도 예외는 아니였다. 돌이는 도깨비감투를 쓰면 사람들 눈에 보이지 않는다는 아버지 얘기를 듣고 도깨비감투만 손에 넣게되면 나쁜사람들의 버릇도 고치고 죄없이 옥에 갇힌 옥희의 아버지 김진사도 구해낼 수 있을거라고 생각한다. 천신만고 끝에 도깨비감투를 손에 넣은 돌이는 사또의 나쁜 버릇을 고치고 김진사를 구출하나, 실수로 도깨비감투가 나쁜사람들에게 넘어가게 되고 사람들이 오히려 피해를 입게 된다. 그러나 돌이의 슬기로움으로 감투를 되찾고, 정의도 되찾게 된다."
아씨,"드라마,시대극/사극",대한민국,1970,주식회사 새한필름,최인현,"김희준,김창세,주선태,여운계,송해,사미자,지윤성,복혜숙,유계선,김신재,방수일,성소민,김웅,임해림,최정민,허명자,이동민,신찬일,김홍규",19710107,108,"조혼,남편의외도,가정폭력,어린신랑,TV드라마원작,TV연속극원작,TBC","순덕 아씨는 19살에 18살 긍재에게 시집을 가지만 남편의 학대를 받는다. 긍재는 서울에서 공부하던 중 은심이라는 여학생과의 사이에서 아들을 낳지만, 은심은 자신과 아씨를 위해서 아들 봉구를 맡기고 떠난다. 긍재는 가산을 탕진하며 서울에서 기생들과 세월을 보내고, 아씨는 은심이 낳은 아들 봉구와 자기가 낳은 딸 영순을 키우며 세월을 보낸다. 결국 긍재는 집문서와 토지문서를 가지고 기생 홍도를 데리고 만주로 떠난다. 만주에 간 긍재는 홍도 오빠(오남)의 간계로 일본 경찰에 수감된다. 아씨는 남편을 구하려고 만주로 가서 옛날 아씨를 짝사랑하던 검사(수남)을 만나게 되고, 그의 도움으로 남편은 석방된다. 긍재는 처음으로 자기의 잘못을 느끼고, 아씨에게 용서를 비는 사연을 남기고 떠난다."
산동반점,"액션,시대극/사극,무협,활극",대한민국,1982,신한영화,김선경,"서병헌,송정아,김영일,이재영,권성영,이희성,이화진,남포동,최명희,김명진,최화섭,지승룡,홍성찬,임재숙,강명자,김영란",19831102,102,"납치,무림고수,복수,약혼자,부모의원수,무술고수,무술권법전수,협력,마지막대결,산동시리즈,반점","장평은 돈을 벌어가지고 약혼자 화향을 찾던중 투계를 하던 봉룡을 만난다. 장평은 화향이 사마천 이란자에게 끌려간 것을 알고 찾아갔다가 돈만 빼앗기고 빈사상태로 쫓긴다. 죽음에서 소진의 구원을 받은 후 소진도 부모의 원수를 갚으려는 사실을 알고 공동전선을 펴기로 한다. 소진과 장평은 봉룡이 사마천과 동문수학한 무술의 고수임을 알게 되어 전수받는다. 한편 사마천은 자신의 죄과를 알고 있는 봉룡을 제거하려 한다. 결투의 날, 사마천의 무서운 괴력에 소진, 봉룡이 무너지나 장평의 새로운 권법이 사마천을 쓰러뜨린다."
육식동물,드라마,대한민국,1984,신한영화㈜,김기영,"김성겸,노경신,정재순,김병학,한우리,양희란,엄심정,배규빈,최일,여재하,상일환,이영호,강성환,최재호,석세영,김창완,전숙,문미봉,남수정",19850323,105,"고립감,두집살림,상실감,열등감,혼외정사,리메이크,호스테스,우유부단함,부부갈등,현실도피,공유,첩,아내",출판사 사장 김동식은 부인의 사업이 성장하자 열등감을 느끼게 되고 가정에서의 위치도 흐려지게 되어 차츰 방황한다. 이런 방황의 도피로 호스테스와 혼외정사를 갖게 된다. 그러나 성격이 우유부단한 그는 이러한 통정을 계기로 또 다른 가정을 갖게 되어 더 깊은 갈등과 심연으로 빠져들게 된다. 한편 부인과 내연의 처는 여성특유의 현실주의를 내세워 모종의 협상을 맺고 그를 공유하게 된다. 결국 당면한 현실을 외면하고 도피하려던 그는 생의 구덩이를 스스로 파서 모두로부터 영원히 잊혀지길 원했던 것이다.
뼈와 살이 타는 밤,드라마,대한민국,1985,세경흥업㈜,조명화,"현지혜(청아),마건중(준식),이정애(무당),최종숙(미혜),이희영(소령),왕룡(법사),이백(노인),최재훈(작가),홍준길(윤)",19850612,90,"꿈,목걸이,부적,전생,사진작가,호텔,성적유혹,법사,가정,정절",사진작가 준식은 평소 일로 인하여 가정에 소홀히 함을 부인과 딸에게 미안해 한 탓인지 이상한 꿈을 꾼다. 꿈속에서 길을 걷던 준식은 여자사진이 있는 금목걸이를 주워 사진은 버리고 목걸이만 부인에게 주려고 호텔로 온다. 그날 사진속의 청아라는 여인이 찾아와 전생에서 연인관계라며 사랑을 요구한다. 준식은 청아의 미모에 빠져들자 법사를 찾아가 부적이 있는 방에서 7일간 법사의 주문을 듣고 극복 하려고 한다. 준식은 7일을 무사히 넘기고 법사의 도술로 청아를 재로 만들어 버린다. 꿈에서 깨어난 준식은 가정을 잘 돌보겠다는 결심을 한다.
